CMPLNT_FR_DT,MISC,LARCENY-THEFT,DRUG OFFENSE,AGGRAVATED ASSAULT,FRAUD,RAPE,ATTEMPT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MOTOR VEHICLE THEFT,BURGLARY,ARSON
2015-01-01,1,4,0,0,5,16,0,0,0,0,0
2015-01-02,1,2,0,0,0,0,0,0,0,0,0
2015-01-05,1,0,0,1,0,1,0,0,0,0,0
2015-01-07,1,0,0,0,0,0,0,0,0,0,0
2015-01-08,0,1,0,0,0,0,0,0,0,0,0
2015-01-09,0,0,0,1,0,0,0,0,0,0,0
2015-01-13,0,1,0,0,0,0,0,0,0,0,0
2015-01-16,0,0,0,0,0,1,1,0,0,0,0
2015-01-20,0,1,0,0,0,0,0,0,0,0,0
2015-01-23,0,0,0,0,0,1,0,0,0,0,0
2015-01-28,1,0,0,0,0,0,0,0,0,0,0
2015-01-30,1,0,0,0,0,0,0,0,0,0,0
2015-02-01,0,1,0,0,0,0,0,0,0,0,0
2015-02-06,0,1,1,0,0,1,0,0,0,0,0
2015-02-10,0,0,0,0,0,1,0,0,0,0,0
2015-02-13,0,1,0,0,0,0,0,0,0,0,0
2015-02-14,0,1,0,0,0,0,0,0,0,0,0
2015-02-15,1,0,0,0,0,1,0,0,0,0,0
2015-02-19,0,2,0,0,0,0,0,0,0,0,0
2015-02-20,0,1,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0,0,0,0,1,0,0,0,0
2015-02-25,0,1,0,0,0,0,0,0,0,0,0
2015-02-26,0,1,0,0,0,0,0,0,0,0,0
2015-02-28,0,1,0,0,0,0,0,0,0,0,0
2015-03-01,0,2,0,0,0,2,0,0,0,0,0
2015-03-06,1,0,0,0,0,1,0,0,0,0,0
2015-03-08,1,0,0,1,0,0,0,0,0,0,0
2015-03-11,0,1,0,0,0,0,0,0,0,0,0
2015-03-12,0,1,0,0,0,0,0,0,0,0,0
2015-03-13,0,2,0,0,0,0,0,0,0,0,0
2015-03-14,0,1,0,0,0,1,0,0,0,0,0
2015-03-15,0,1,0,0,0,0,0,0,0,0,0
2015-03-18,1,0,0,0,0,0,0,0,0,0,0
2015-03-23,0,2,0,0,0,0,0,0,0,0,0
2015-03-24,1,0,0,0,0,1,0,0,0,0,0
2015-03-26,0,0,0,0,0,0,1,0,0,0,0
2015-03-27,2,0,0,0,0,0,0,0,0,0,0
2015-03-28,0,0,1,0,0,0,0,0,0,0,0
2015-03-30,0,1,0,0,0,0,0,0,0,0,0
2015-03-31,0,1,0,0,0,0,0,0,0,0,0
2015-04-01,1,5,0,0,0,0,0,0,0,0,0
2015-04-07,1,0,0,0,0,0,0,0,0,0,0
2015-04-10,0,0,0,0,1,0,0,0,0,0,0
2015-04-14,0,1,0,0,0,1,0,0,0,0,0
2015-04-16,0,0,0,0,0,0,1,0,0,0,0
2015-04-19,0,1,0,0,0,0,0,0,0,0,0
2015-04-21,1,0,0,0,0,0,0,0,0,0,0
2015-04-22,1,0,0,0,0,0,0,0,0,1,0
2015-04-23,0,1,0,0,0,0,0,0,0,0,0
2015-04-26,1,0,0,0,0,0,0,0,0,0,0
2015-04-28,0,0,0,0,0,0,1,0,0,0,0
2015-04-29,1,0,0,0,0,0,0,0,0,0,0
2015-04-30,1,0,0,0,0,0,1,0,0,0,0
2015-05-01,0,1,0,0,0,1,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,1,0,0,0,0
2015-05-03,1,0,0,0,0,0,0,0,0,0,0
2015-05-07,0,1,0,0,0,0,0,0,0,0,0
2015-05-09,1,2,0,0,0,0,0,0,0,0,0
2015-05-10,0,0,1,1,0,0,0,0,0,0,0
2015-05-13,0,0,0,0,0,0,1,0,0,0,0
2015-05-16,0,1,0,0,0,0,1,0,0,0,0
2015-05-17,0,1,0,0,0,0,0,0,0,0,0
2015-05-20,0,2,0,1,0,0,0,0,0,0,0
2015-05-21,0,1,0,0,0,0,0,0,0,0,0
2015-05-24,0,1,0,0,0,0,0,0,0,0,0
2015-05-25,0,2,0,0,0,0,0,0,0,0,0
2015-05-29,0,0,0,0,1,0,1,0,0,0,0
2015-05-30,0,0,0,0,0,1,0,0,0,0,0
2015-06-01,0,2,0,0,0,5,2,0,0,0,0
2015-06-02,0,0,0,0,1,0,0,0,0,0,0
2015-06-04,1,0,0,0,0,0,0,0,0,0,0
2015-06-08,1,1,0,0,0,0,0,0,0,0,0
2015-06-09,0,2,0,0,0,0,0,0,0,0,0
2015-06-15,1,2,0,0,0,0,0,0,0,0,0
2015-06-16,1,1,0,0,0,0,0,0,0,0,0
2015-06-20,0,1,0,0,0,0,0,0,0,0,0
2015-06-23,0,0,0,0,1,0,0,0,0,0,0
2015-06-24,0,1,0,0,0,0,0,0,0,0,0
2015-06-27,0,0,0,0,0,0,1,0,0,0,0
2015-06-29,2,1,0,0,0,0,0,0,0,0,0
2015-07-01,0,4,0,0,0,5,0,0,0,0,0
2015-07-07,0,0,0,0,1,1,0,0,0,0,0
2015-07-08,0,1,0,0,0,0,0,0,0,0,0
2015-07-09,0,0,0,0,0,1,0,0,0,0,0
2015-07-13,0,0,0,0,0,1,0,0,0,0,0
2015-07-14,1,0,0,0,0,1,0,0,0,0,0
2015-07-15,1,0,0,0,0,0,0,0,0,0,0
2015-07-20,0,1,0,0,0,0,0,0,0,0,0
2015-07-21,0,1,0,0,0,0,0,0,0,0,0
2015-07-26,0,0,0,0,0,2,0,0,0,0,0
2015-07-27,0,0,0,0,0,1,0,0,0,0,0
2015-07-29,0,0,0,0,1,0,0,0,0,0,0
2015-07-31,0,0,0,0,0,1,0,0,0,0,0
2015-08-01,0,1,0,0,0,4,0,0,0,0,0
2015-08-02,0,0,0,0,0,0,1,0,0,0,0
2015-08-06,0,0,0,0,0,1,0,0,0,0,0
2015-08-08,0,1,0,0,0,0,0,0,0,0,0
2015-08-11,0,1,0,0,0,0,0,0,0,0,0
2015-08-14,1,0,0,0,1,0,0,0,0,0,0
2015-08-15,0,0,0,0,0,1,0,0,0,0,0
2015-08-18,0,0,0,0,0,0,1,0,0,0,0
2015-08-20,0,0,0,0,0,2,0,0,0,0,0
2015-08-27,0,0,0,0,0,1,0,0,0,0,0
2015-08-29,0,0,0,0,1,0,0,0,0,0,0
2015-09-01,2,3,0,0,0,1,0,0,0,0,0
2015-09-02,1,0,0,0,0,0,0,0,0,0,0
2015-09-04,0,1,0,0,0,1,0,0,0,0,0
2015-09-08,0,0,0,0,0,1,0,0,0,0,0
2015-09-12,0,0,0,0,0,1,0,0,0,0,0
2015-09-15,0,0,0,0,0,1,0,0,0,0,0
2015-09-18,1,1,0,0,0,0,0,0,0,0,0
2015-09-21,1,1,0,0,0,0,1,0,0,0,0
2015-09-25,0,1,0,0,0,0,0,0,0,0,0
2015-09-29,0,1,0,0,0,0,0,0,0,0,0
2015-10-01,1,4,0,0,2,1,0,0,0,0,0
2015-10-02,1,0,0,0,1,0,0,0,0,0,0
2015-10-05,0,1,0,0,0,0,0,0,0,0,0
2015-10-13,0,1,0,0,0,0,0,0,0,0,0
2015-10-15,0,1,0,0,0,0,0,0,0,0,0
2015-10-19,0,1,0,0,0,0,0,0,0,0,0
2015-10-22,0,0,0,0,1,0,0,0,0,0,0
2015-10-29,0,1,0,0,0,0,0,0,0,0,0
2015-10-30,0,0,0,0,0,0,0,0,1,0,0
2015-11-01,1,2,0,0,1,0,1,0,0,0,0
2015-11-03,1,0,0,0,0,0,0,0,0,0,0
2015-11-04,0,0,0,0,0,0,1,0,0,0,0
2015-11-15,1,0,0,0,0,0,0,0,0,0,0
2015-11-16,0,1,0,0,0,0,0,0,0,0,0
2015-11-17,0,0,0,0,1,0,0,0,0,0,0
2015-11-18,0,0,0,0,1,0,0,0,0,0,0
2015-11-19,0,0,0,0,2,0,0,0,0,0,0
2015-11-20,0,2,0,1,0,0,0,0,0,0,0
2015-11-28,0,1,0,0,0,1,0,0,0,0,0
2015-11-30,0,1,0,0,0,0,0,0,0,0,0
2015-12-01,0,3,0,1,0,0,1,0,0,0,0
2015-12-03,0,3,0,0,0,0,0,0,0,0,0
2015-12-07,1,0,0,0,0,0,0,0,0,0,0
2015-12-10,0,0,0,0,1,0,0,0,0,0,0
2015-12-11,0,2,0,0,0,0,0,0,0,0,0
2015-12-12,1,1,0,0,2,0,0,0,0,0,0
2015-12-14,0,1,0,0,0,0,0,0,0,0,0
2015-12-15,0,0,0,0,0,1,0,0,0,0,0
2015-12-20,0,1,0,0,0,0,0,0,0,0,0
2015-12-22,0,1,0,0,0,0,0,0,0,0,0
2015-12-24,0,1,0,0,0,0,0,0,0,0,0
2015-12-26,0,0,0,0,0,1,0,0,0,0,0
2015-12-29,0,1,0,0,0,0,0,0,0,0,0
2015-12-31,1,0,0,0,0,0,0,0,0,0,0
2016-01-01,3,11,0,0,0,11,1,0,0,0,0
2016-01-02,1,0,0,0,0,0,0,0,0,0,0
2016-01-04,0,2,0,0,0,1,0,0,0,0,0
2016-01-08,0,1,0,0,0,0,0,0,0,0,0
2016-01-10,0,1,0,0,0,0,0,0,0,0,0
2016-01-11,0,1,0,0,0,0,0,0,0,0,0
2016-01-15,0,1,0,0,0,0,0,0,0,0,0
2016-01-16,0,1,0,0,0,0,0,0,0,0,0
2016-01-18,0,1,0,0,0,0,0,0,0,0,0
2016-01-21,0,0,0,0,0,0,1,0,0,0,0
2016-01-22,1,0,0,0,0,0,0,0,0,0,0
2016-01-25,1,0,0,0,0,0,1,0,0,0,0
2016-01-26,1,1,0,0,0,1,0,0,0,0,0
2016-01-28,2,0,0,0,0,0,0,0,0,0,0
2016-01-31,0,0,0,0,0,1,0,0,0,0,0
2016-02-01,1,1,1,0,2,1,2,0,0,0,0
2016-02-03,0,1,0,0,0,0,0,0,0,0,0
2016-02-04,0,1,0,0,0,0,0,0,0,0,0
2016-02-05,0,1,0,0,0,0,0,0,0,0,0
2016-02-06,0,1,0,0,0,1,0,0,0,0,0
2016-02-08,0,0,0,0,0,1,0,0,0,0,0
2016-02-09,0,0,0,0,0,1,0,0,0,0,0
2016-02-11,0,1,0,0,0,0,0,0,0,0,0
2016-02-14,0,0,0,1,0,0,0,0,0,0,0
2016-02-15,1,0,0,0,0,1,0,0,0,0,0
2016-02-16,1,1,0,0,0,0,1,0,0,0,0
2016-02-21,0,1,0,0,0,0,0,0,0,0,0
2016-02-23,0,3,0,0,0,0,0,0,0,0,0
2016-02-24,0,1,0,0,0,0,0,0,0,0,0
2016-02-26,1,1,0,0,0,0,0,0,0,0,0
2016-02-27,0,0,0,1,0,0,0,0,0,0,0
2016-02-28,1,1,0,0,0,0,0,0,0,0,0
2016-02-29,1,0,0,0,0,0,1,0,0,0,0
2016-03-01,0,3,0,0,0,1,1,0,0,0,0
2016-03-02,0,1,0,0,0,0,0,0,0,0,0
2016-03-04,0,0,0,0,0,1,0,0,0,0,0
2016-03-05,1,0,0,0,0,0,0,0,0,0,0
2016-03-06,1,1,0,0,0,1,0,0,0,0,0
2016-03-10,2,1,0,0,0,0,0,0,0,0,0
2016-03-13,0,0,0,0,0,1,0,0,0,0,0
2016-03-15,1,0,0,0,0,0,0,0,0,0,0
2016-03-18,1,0,0,0,0,0,0,0,0,0,0
2016-03-21,0,0,0,0,0,1,0,0,0,0,0
2016-03-22,0,1,0,0,0,0,0,0,0,0,0
2016-03-23,1,0,0,0,0,0,0,0,0,0,0
2016-03-25,1,0,0,0,1,0,0,0,0,0,0
2016-03-26,1,0,0,0,0,0,0,0,0,0,0
2016-03-28,0,0,0,0,0,1,0,0,0,0,0
2016-03-29,1,1,0,0,0,0,0,0,0,0,0
2016-03-31,0,1,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,2,1,0,0,0,0
2016-04-02,0,0,0,1,0,1,0,0,0,0,0
2016-04-03,1,0,0,0,0,0,0,0,0,0,0
2016-04-04,1,2,0,0,0,0,0,0,0,0,0
2016-04-06,1,0,0,0,0,0,0,0,0,0,0
2016-04-07,0,1,0,0,0,0,0,0,0,0,0
2016-04-08,0,1,0,0,0,0,1,0,0,1,0
2016-04-11,1,0,0,0,1,0,0,0,0,0,0
2016-04-13,1,1,0,0,1,0,0,0,0,0,0
2016-04-14,1,0,0,0,0,0,0,0,0,0,0
2016-04-15,1,1,0,0,0,0,0,0,0,0,0
2016-04-16,1,2,0,0,0,0,0,0,0,0,0
2016-04-17,0,1,0,0,0,0,0,0,0,0,0
2016-04-18,3,2,0,0,0,0,0,0,0,0,0
2016-04-19,0,2,0,0,0,0,0,0,0,0,0
2016-04-20,0,0,0,0,1,1,0,0,0,0,0
2016-04-21,0,2,0,0,0,0,0,0,0,0,0
2016-04-22,0,0,0,0,0,1,0,0,0,0,0
2016-04-23,3,0,0,1,0,0,0,0,1,0,0
2016-04-26,1,0,0,0,0,2,0,0,0,0,0
2016-04-28,0,1,0,0,0,0,0,0,0,0,0
2016-04-29,0,1,0,0,0,0,0,0,0,0,0
2016-04-30,0,1,0,0,0,0,0,0,0,0,0
2016-05-01,1,5,0,0,0,4,1,0,0,0,0
2016-05-02,1,1,0,0,0,0,0,0,0,0,0
2016-05-04,0,1,0,1,0,0,0,0,0,0,0
2016-05-05,2,1,0,0,0,0,0,0,0,0,0
2016-05-06,1,0,0,0,0,0,0,0,0,0,0
2016-05-09,0,2,0,0,0,1,0,0,0,0,0
2016-05-10,2,0,0,0,0,0,0,0,0,0,0
2016-05-11,0,1,0,0,0,0,0,0,0,0,0
2016-05-13,0,2,0,0,0,0,0,0,0,0,0
2016-05-14,0,1,0,0,0,1,0,0,0,0,0
2016-05-15,0,0,0,0,0,1,0,0,0,0,0
2016-05-16,1,1,0,0,0,0,0,0,0,0,0
2016-05-18,0,1,0,0,0,2,0,0,0,0,0
2016-05-20,1,0,0,0,1,0,0,0,0,0,0
2016-05-22,0,0,0,0,1,0,0,0,0,0,0
2016-05-23,0,1,0,0,0,0,0,0,0,0,0
2016-05-24,1,1,0,0,0,0,0,0,0,0,0
2016-05-26,1,0,0,0,0,1,0,0,0,0,0
2016-05-29,0,1,0,0,0,0,0,0,0,0,0
2016-05-31,0,1,0,0,0,0,0,0,0,0,0
2016-06-01,2,5,0,0,0,6,2,0,0,0,0
2016-06-02,0,2,0,0,0,0,1,0,0,0,0
2016-06-03,0,0,0,0,1,0,0,0,0,0,0
2016-06-04,0,1,0,0,0,0,0,0,0,0,0
2016-06-06,1,1,0,0,2,0,0,0,0,0,0
2016-06-07,0,0,0,0,1,0,0,0,0,0,0
2016-06-08,0,1,0,0,1,0,0,0,0,0,0
2016-06-09,0,0,0,0,3,1,0,0,0,0,0
2016-06-10,0,0,0,0,0,0,1,0,0,0,0
2016-06-11,0,0,0,0,1,0,0,0,0,0,0
2016-06-12,0,1,0,0,0,0,0,0,0,0,0
2016-06-13,1,0,0,0,2,0,0,0,0,0,0
2016-06-14,1,0,0,0,2,0,0,0,0,0,0
2016-06-15,2,0,0,0,2,0,0,0,0,0,0
2016-06-16,2,1,0,2,0,0,1,0,0,0,0
2016-06-18,0,1,0,0,0,0,0,0,0,0,0
2016-06-20,0,0,0,0,0,0,1,0,0,0,0
2016-06-22,0,1,0,0,0,0,0,0,0,0,0
2016-06-23,0,0,0,1,0,0,0,0,0,0,0
2016-06-25,0,0,0,0,0,1,0,0,0,0,0
2016-06-26,4,1,0,0,0,0,0,0,0,0,0
2016-06-27,0,0,0,0,0,1,0,0,0,0,0
2016-06-28,0,0,0,0,0,1,0,0,0,0,0
2016-06-29,1,0,0,0,0,0,0,0,0,0,0
2016-07-01,4,3,0,0,1,4,1,0,0,0,0
2016-07-02,0,2,0,0,0,1,0,0,0,0,0
2016-07-04,0,0,0,0,0,2,0,0,0,0,0
2016-07-05,1,0,0,0,1,0,0,0,0,0,0
2016-07-10,0,1,0,0,0,0,0,1,0,0,0
2016-07-11,0,1,0,0,0,1,0,0,0,0,0
2016-07-12,0,0,0,0,0,0,1,0,0,0,0
2016-07-13,0,0,0,0,0,0,1,0,0,0,0
2016-07-15,0,2,0,0,0,1,0,0,0,0,0
2016-07-16,0,0,0,0,1,0,0,0,0,0,0
2016-07-18,0,0,0,0,1,0,0,0,0,0,0
2016-07-19,1,0,0,0,0,0,0,0,0,0,0
2016-07-21,0,0,0,0,0,1,0,0,0,0,0
2016-07-23,0,1,0,0,0,0,0,0,0,0,0
2016-07-25,1,0,0,0,0,0,1,0,0,0,0
2016-07-26,1,1,0,0,0,0,0,0,0,0,0
2016-07-30,0,1,0,0,0,0,0,0,0,0,0
2016-08-01,2,8,0,0,1,6,1,0,0,0,0
2016-08-02,0,1,0,0,0,0,0,0,0,0,0
2016-08-04,0,1,0,0,0,0,0,0,0,0,0
2016-08-06,0,1,0,0,0,0,0,0,0,0,0
2016-08-07,0,0,0,0,0,0,0,1,0,0,0
2016-08-08,0,1,0,1,0,0,0,0,0,0,0
2016-08-10,0,0,0,1,0,0,0,0,0,0,0
2016-08-11,0,0,0,0,1,0,0,0,0,0,0
2016-08-13,0,0,0,0,0,0,1,0,0,0,0
2016-08-15,0,3,0,0,0,1,0,0,0,0,0
2016-08-17,0,1,0,0,0,0,0,0,0,0,0
2016-08-18,1,1,0,0,0,0,0,0,0,0,0
2016-08-19,0,0,0,0,0,0,1,0,0,0,0
2016-08-20,0,2,0,0,0,0,0,0,0,0,0
2016-08-23,0,1,0,0,0,0,0,0,0,0,0
2016-08-28,0,0,0,1,0,1,0,0,0,0,0
2016-08-29,1,0,0,0,0,0,0,0,0,0,0
2016-08-31,0,1,0,0,0,0,1,0,0,0,0
2016-09-01,1,7,0,0,0,7,3,0,0,0,0
2016-09-02,1,1,0,0,0,0,0,0,0,0,0
2016-09-04,0,0,0,0,0,0,1,0,0,0,0
2016-09-05,0,0,0,3,0,0,0,0,0,0,0
2016-09-06,1,0,0,0,0,1,0,0,0,0,0
2016-09-07,1,1,0,0,0,0,0,0,0,0,0
2016-09-08,0,0,0,0,0,0,1,0,0,0,0
2016-09-09,2,0,0,0,0,0,0,0,0,0,0
2016-09-10,0,1,0,0,0,0,0,0,0,0,0
2016-09-11,0,1,0,0,0,0,0,0,0,0,0
2016-09-12,0,0,0,0,0,0,1,0,0,0,0
2016-09-13,0,1,0,0,0,0,0,0,0,0,0
2016-09-15,2,1,0,0,0,0,0,0,0,0,0
2016-09-16,0,1,0,0,0,0,0,0,0,0,0
2016-09-18,1,0,0,0,0,0,0,0,0,0,0
2016-09-20,0,1,0,1,0,0,0,0,0,0,0
2016-09-26,0,3,0,0,0,0,0,0,0,0,0
2016-09-27,0,1,0,0,1,1,0,0,0,0,0
2016-09-30,0,0,0,0,1,0,0,0,0,0,0
2016-10-01,1,3,0,0,0,3,1,0,1,0,0
2016-10-03,0,0,0,0,1,0,0,0,0,0,0
2016-10-04,0,1,0,0,0,1,0,0,0,0,0
2016-10-05,0,1,0,1,0,1,0,0,0,0,0
2016-10-06,0,2,0,0,1,0,0,0,0,0,0
2016-10-07,0,1,0,0,0,1,0,0,0,0,0
2016-10-12,1,0,0,0,0,0,0,0,0,0,0
2016-10-13,0,2,0,0,0,0,0,0,0,0,0
2016-10-14,0,2,0,0,0,0,0,0,0,0,0
2016-10-16,1,1,0,0,0,0,0,0,0,0,0
2016-10-17,1,0,0,0,1,0,0,0,0,0,0
