Crime Subcategory,Category Final
AGGRAVATED ASSAULT,AGGRAVATED ASSAULT
NARCOTIC,DRUG OFFENSE
HOMICIDE,MURDER AND NON-NEGLIGENT MANSLAUGHTER
SEX OFFENSE-OTHER,RAPE
FAMILY OFFENSE-NONVIOLENT,MISC
AGGRAVATED ASSAULT-DV,AGGRAVATED ASSAULT
BURGLARY-RESIDENTIAL,BURGLARY
BURGLARY-COMMERCIAL,BURGLARY
CAR PROWL,MISC
THEFT-ALL OTHER,LARCENY-THEFT
TRESPASS,MISC
THEFT-SHOPLIFT,LARCENY-THEFT
MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT
BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY
ROBBERY-STREET,LARCENY-THEFT
DUI,MISC
WEAPON,MISC
THEFT-BICYCLE,LARCENY-THEFT
ROBBERY-COMMERCIAL,LARCENY-THEFT
THEFT-BUILDING,LARCENY-THEFT
PROSTITUTION,MISC
PORNOGRAPHY,MISC
RAPE,RAPE
BURGLARY-COMMERCIAL-SECURE PARKING,BURGLARY
ARSON,ARSON
ROBBERY-RESIDENTIAL,LARCENY-THEFT
DISORDERLY CONDUCT,MISC
LIQUOR LAW VIOLATION,MISC
LOITERING,MISC
GAMBLE,MISC