Crime Date,BURGLARY,THEFT,AGGRAVATED ASSAULT, RAPE,MURDER AND NON-NEGLIGENT MANSLAUGHTER,MISC,DRUG OFFENSE,FRAUD, MOTOR VEHICLE THEFT,ARSON
1/1/2015,14,65,5,0,0,8,0,1,0,0
1/1/2016,18,55,13,5,0,22,1,2,0,0
1/1/2017,42,83,64,4,0,160,79,1,1,0
1/1/2018,32,50,49,4,0,96,61,3,1,1
1/10/2015,4,70,5,1,0,0,0,0,0,0
1/10/2016,17,68,7,1,0,1,0,0,0,0
1/10/2017,39,50,36,1,0,99,69,4,0,1
1/10/2018,44,56,39,1,0,79,51,3,2,0
1/11/2015,6,56,4,0,0,0,0,0,0,0
1/11/2016,28,77,5,0,0,2,0,0,0,0
1/11/2017,39,57,40,0,0,115,75,3,1,1
1/11/2018,37,51,32,1,0,79,47,4,1,0
1/12/2015,16,118,1,1,0,0,0,0,0,0
1/12/2016,21,75,4,0,0,0,0,0,0,0
1/12/2017,59,51,42,0,0,102,70,7,1,0
1/12/2018,36,47,31,2,0,98,47,3,2,0
1/13/2015,14,90,5,0,0,0,0,0,0,0
1/13/2016,18,71,5,3,0,0,0,0,0,0
1/13/2017,45,67,39,2,0,127,76,8,1,0
1/13/2018,33,50,45,0,0,57,53,2,0,0
1/14/2015,20,117,4,2,0,0,0,0,0,0
1/14/2016,19,66,4,1,0,0,0,0,0,0
1/14/2017,37,45,42,3,0,96,71,2,0,0
1/14/2018,30,44,31,3,0,70,53,2,1,1
1/15/2015,25,70,2,3,0,0,0,0,0,0
1/15/2016,23,77,6,3,0,0,0,0,0,0
1/15/2017,27,58,42,4,1,98,53,1,1,0
1/15/2018,34,44,31,3,0,75,55,4,0,0
1/16/2015,20,80,2,3,0,0,0,0,0,0
1/16/2016,14,73,6,2,0,0,0,0,0,0
1/16/2017,42,46,46,2,0,85,55,3,1,0
1/16/2018,37,40,28,2,0,59,36,1,0,1
1/17/2015,21,41,5,0,0,0,0,0,0,0
1/17/2016,16,65,6,1,0,1,0,0,0,0
1/17/2017,56,46,26,3,0,98,46,7,1,0
1/17/2018,45,48,25,1,0,70,44,11,0,0
1/18/2015,6,65,7,0,0,0,0,0,0,0
1/18/2016,24,103,3,2,0,1,0,0,0,0
1/18/2017,57,41,34,2,1,118,51,3,1,0
1/18/2018,49,50,21,1,0,99,44,4,1,1
1/19/2015,13,71,4,2,1,0,0,0,0,0
1/19/2016,22,103,4,2,0,2,0,0,0,0
1/19/2017,36,43,36,0,0,111,78,4,2,0
1/19/2018,47,37,34,0,0,104,58,6,0,1
1/2/2015,29,78,6,0,0,0,0,0,0,0
1/2/2016,11,56,9,2,0,0,0,0,0,0
1/2/2017,39,50,31,2,0,98,58,2,1,0
1/2/2018,31,39,25,0,0,80,45,5,0,0
1/20/2015,16,83,4,0,0,0,0,0,0,0
1/20/2016,23,88,7,1,0,2,0,0,0,0
1/20/2017,41,51,37,1,0,123,92,5,1,0
1/20/2018,21,56,41,3,0,67,71,2,1,0
1/21/2015,18,82,2,1,0,0,0,0,0,0
1/21/2016,24,89,1,1,0,1,0,0,0,0
1/21/2017,44,50,53,3,0,111,60,2,1,1
1/21/2018,18,45,33,1,1,84,48,3,0,0
1/22/2015,21,64,3,0,0,0,0,0,0,0
1/22/2016,16,95,8,4,1,0,1,0,0,0
1/22/2017,38,49,51,1,0,101,61,5,0,0
1/22/2018,30,47,30,3,0,85,61,4,2,0
1/23/2015,16,90,2,0,0,0,0,0,0,0
1/23/2016,12,69,4,4,0,4,0,0,0,0
1/23/2017,42,55,31,1,0,101,57,3,1,0
1/23/2018,34,50,24,0,0,96,54,4,1,1
1/24/2015,10,52,4,0,0,0,0,0,0,0
1/24/2016,23,64,5,3,0,0,0,0,0,0
1/24/2017,43,55,26,1,0,126,71,4,0,0
1/24/2018,37,58,32,1,0,65,52,2,0,0
1/25/2015,11,65,7,1,0,0,0,0,0,0
1/25/2016,22,99,6,4,0,1,0,0,0,0
1/25/2017,46,53,36,1,0,90,73,3,4,0
1/25/2018,38,48,34,2,0,86,49,2,2,2
1/26/2015,18,71,1,1,0,0,0,0,0,0
1/26/2016,22,85,4,1,0,1,0,0,0,0
1/26/2017,34,47,28,0,0,112,48,6,0,0
1/26/2018,48,60,30,1,0,99,67,1,0,0
1/27/2015,16,83,4,1,0,0,0,0,0,0
1/27/2016,21,69,7,1,0,0,1,0,0,0
1/27/2017,53,55,39,1,0,122,63,4,1,0
1/27/2018,31,58,43,1,1,77,55,1,0,1
1/28/2015,12,93,7,2,0,0,0,0,0,0
1/28/2016,28,77,4,3,0,0,0,0,0,0
1/28/2017,40,48,37,0,0,109,60,3,1,0
1/28/2018,31,41,42,0,0,89,63,2,2,0
1/29/2015,16,94,6,0,0,0,0,0,0,0
1/29/2016,21,94,4,2,0,1,0,0,0,0
1/29/2017,29,41,58,4,0,94,63,4,0,0
1/29/2018,41,46,28,1,0,86,53,5,1,0
1/3/2015,15,68,9,1,0,0,0,0,0,0
1/3/2016,18,56,8,2,0,0,0,0,0,0
1/3/2017,50,52,26,2,0,124,49,10,1,0
1/3/2018,39,38,31,0,0,82,55,5,1,0
1/30/2015,17,97,2,2,0,0,0,0,0,0
1/30/2016,10,67,6,0,0,0,0,0,0,0
1/30/2017,37,42,31,0,0,101,58,7,0,0
1/30/2018,42,54,29,0,0,77,43,6,3,0
1/31/2015,18,57,6,0,0,0,0,0,0,0
1/31/2016,11,91,7,4,0,1,0,0,0,0
1/31/2017,41,51,48,0,0,117,50,3,1,0
1/31/2018,35,44,35,2,0,87,42,6,1,0
1/4/2015,13,58,8,2,0,0,0,0,0,0
1/4/2016,15,118,3,3,0,0,0,0,0,0
1/4/2017,39,43,21,3,0,91,56,5,0,1
1/4/2018,28,44,35,1,0,79,74,4,1,0
1/5/2015,15,101,6,3,0,2,0,0,0,0
1/5/2016,18,84,8,0,0,0,0,0,0,0
1/5/2017,21,43,35,1,0,99,66,6,1,0
1/5/2018,44,42,32,3,0,95,51,1,2,0
1/6/2015,21,109,6,0,0,0,0,0,0,0
1/6/2016,16,68,8,3,0,2,0,0,0,0
1/6/2017,38,50,33,2,0,92,58,4,0,1
1/6/2018,44,49,34,0,0,80,66,2,1,0
1/7/2015,15,80,5,0,0,0,0,0,0,0
1/7/2016,19,95,3,4,0,0,0,0,0,0
1/7/2017,36,34,27,1,0,84,58,3,1,0
1/7/2018,54,42,39,0,0,91,54,0,1,1
1/8/2015,11,76,2,1,0,0,0,0,0,0
1/8/2016,27,75,4,1,0,0,0,0,0,0
1/8/2017,37,42,34,1,0,81,63,0,1,0
1/8/2018,31,51,31,3,0,67,66,5,1,1
1/9/2015,14,79,3,1,0,1,0,0,0,0
1/9/2016,14,60,5,3,0,0,0,0,0,0
1/9/2017,44,55,29,2,0,97,53,4,1,0
1/9/2018,55,49,30,0,0,81,60,5,1,1
10/1/2015,13,71,10,1,0,3,0,0,0,0
10/1/2016,12,96,9,3,0,22,0,2,0,0
10/1/2017,42,60,46,3,0,107,72,3,0,0
10/1/2018,47,61,45,2,0,72,44,7,1,0
10/10/2015,13,66,3,4,0,1,0,0,0,0
10/10/2016,15,111,3,1,0,6,0,0,0,0
10/10/2017,29,49,40,2,0,86,70,2,0,0
10/10/2018,42,49,30,3,0,76,47,8,1,0
10/11/2015,9,73,5,0,0,1,0,0,0,0
10/11/2016,11,105,3,3,0,0,0,1,0,0
10/11/2017,32,52,32,4,0,89,69,5,0,0
10/11/2018,40,51,25,1,0,88,45,7,2,0
10/12/2015,14,114,3,0,0,0,0,0,0,0
10/12/2016,17,93,5,1,0,2,0,1,0,0
10/12/2017,29,40,33,2,0,107,58,4,0,0
10/12/2018,48,61,29,2,0,80,60,6,2,0
10/13/2015,19,90,4,0,0,0,0,0,0,0
10/13/2016,20,81,10,2,0,1,0,0,0,0
10/13/2017,43,66,41,1,0,107,80,2,0,1
10/13/2018,41,87,40,0,0,77,60,3,0,0
10/14/2015,12,84,4,3,0,0,0,0,0,0
10/14/2016,22,73,5,4,0,3,0,0,0,0
10/14/2017,25,70,56,4,0,91,66,2,2,0
10/14/2018,54,80,43,1,0,78,60,1,0,0
10/15/2015,18,80,6,1,0,2,0,0,0,0
10/15/2016,13,54,8,1,1,2,0,1,0,0
10/15/2017,28,62,56,3,0,91,74,4,0,0
10/15/2018,35,35,33,0,0,62,48,4,0,0
10/16/2015,10,69,1,2,0,0,0,0,0,0
10/16/2016,19,54,9,3,0,1,0,0,0,0
10/16/2017,28,48,36,1,0,111,42,7,1,0
10/16/2018,58,43,29,0,0,73,48,2,0,0
10/17/2015,9,45,4,0,0,0,0,0,0,0
10/17/2016,19,81,5,3,0,1,0,0,0,0
10/17/2017,41,52,35,2,0,91,49,6,0,0
10/17/2018,68,40,32,1,0,73,37,1,0,0
10/18/2015,7,72,8,1,0,0,0,0,0,0
10/18/2016,13,88,3,3,1,3,0,2,0,0
10/18/2017,36,52,44,0,0,107,43,2,1,1
10/18/2018,57,32,28,1,0,79,53,2,1,0
10/19/2015,22,102,3,1,0,0,0,0,0,0
10/19/2016,19,80,4,1,0,2,0,0,0,0
10/19/2017,34,47,33,0,0,102,53,1,2,1
10/19/2018,35,20,15,0,0,69,20,2,0,0
10/2/2015,15,98,3,2,0,0,0,0,0,0
10/2/2016,17,79,6,4,0,2,0,0,0,0
10/2/2017,41,58,52,2,0,94,61,5,2,0
10/2/2018,42,46,37,2,0,86,52,7,1,0
10/20/2015,12,83,3,0,0,0,0,0,0,0
10/20/2016,17,74,3,6,0,0,0,1,0,0
10/20/2017,49,61,38,2,0,81,58,11,1,0
10/20/2018,9,8,1,0,0,7,2,0,0,0
10/21/2015,11,95,2,2,0,0,0,0,0,0
10/21/2016,19,70,4,3,0,3,0,0,0,0
10/21/2017,34,53,49,3,0,97,71,5,1,0
10/22/2015,12,74,6,3,0,0,0,1,0,0
10/22/2016,10,73,15,1,0,2,0,1,0,0
10/22/2017,37,44,43,1,0,92,68,0,0,0
10/23/2015,18,104,3,1,0,1,0,0,0,0
10/23/2016,14,75,7,4,0,0,0,1,0,0
10/23/2017,34,47,45,2,0,100,59,2,0,0
10/24/2015,5,46,5,0,0,0,0,0,0,0
10/24/2016,24,86,5,3,0,0,0,2,0,0
10/24/2017,31,52,40,0,0,84,42,7,0,0
10/25/2015,8,64,3,1,0,0,0,0,0,0
10/25/2016,18,91,3,4,0,3,0,0,0,0
10/25/2017,48,44,45,2,0,88,55,6,0,1
10/26/2015,23,93,4,1,0,0,0,0,0,0
10/26/2016,21,83,5,3,0,1,0,1,0,0
10/26/2017,43,51,29,2,0,78,60,9,1,0
10/27/2015,14,83,7,1,0,0,0,0,0,0
10/27/2016,10,78,4,4,0,2,0,1,0,0
10/27/2017,51,57,32,0,0,102,52,4,1,0
10/28/2015,17,93,5,0,0,0,0,0,0,0
10/28/2016,25,88,6,4,0,2,0,0,0,0
10/28/2017,39,49,40,0,0,81,68,1,0,1
10/29/2015,16,70,6,0,0,0,0,0,0,0
10/29/2016,20,52,11,3,0,1,0,0,0,0
10/29/2017,43,47,40,0,1,71,60,2,1,0
10/3/2015,12,58,8,0,0,0,0,0,0,0
10/3/2016,26,110,4,2,0,1,0,1,0,0
10/3/2017,44,43,32,0,0,100,42,10,0,0
10/3/2018,41,49,33,1,1,76,54,4,0,0
10/30/2015,16,68,2,4,0,0,0,0,0,0
10/30/2016,11,63,11,2,1,1,0,0,0,0
10/30/2017,39,49,48,0,0,88,54,3,0,1
10/31/2015,16,61,7,1,0,0,0,0,0,0
10/31/2016,26,81,9,2,0,4,0,0,0,0
10/31/2017,44,36,36,1,0,82,62,5,1,3
10/4/2015,13,50,2,1,0,0,0,0,0,0
10/4/2016,17,78,8,1,0,3,0,0,0,0
10/4/2017,42,45,36,3,0,101,45,4,1,1
10/4/2018,36,48,41,0,0,91,43,3,0,0
10/5/2015,24,100,3,2,0,0,0,0,0,0
10/5/2016,29,83,7,3,0,0,0,0,0,0
10/5/2017,44,44,32,5,0,102,54,2,1,0
10/5/2018,38,65,29,1,0,82,63,5,2,0
10/6/2015,23,91,2,3,0,0,0,0,0,0
10/6/2016,21,69,8,1,0,1,1,0,0,0
10/6/2017,27,64,32,1,0,99,57,5,0,0
10/6/2018,39,81,47,1,0,87,49,0,0,0
10/7/2015,20,95,3,1,0,2,0,0,0,0
10/7/2016,23,63,6,1,0,1,0,0,0,0
10/7/2017,35,62,55,2,0,99,67,3,0,0
10/7/2018,46,73,46,1,0,84,52,1,3,0
10/8/2015,10,88,5,0,0,0,0,0,0,0
10/8/2016,13,70,7,2,0,0,0,1,0,0
10/8/2017,43,55,55,0,1,82,63,1,0,1
10/8/2018,57,50,37,0,0,84,54,3,1,0
10/9/2015,14,90,6,0,0,0,0,0,0,0
10/9/2016,14,61,4,2,0,0,0,0,0,0
10/9/2017,30,56,31,1,0,92,69,3,0,0
10/9/2018,38,49,30,0,0,73,46,5,1,0
11/1/2015,24,74,12,1,0,1,0,0,0,0
11/1/2016,32,81,5,1,0,22,1,1,0,0
11/1/2017,39,65,40,2,0,124,66,11,1,0
11/10/2015,18,116,4,1,0,1,0,0,0,0
11/10/2016,20,86,3,1,0,4,0,1,0,0
11/10/2017,33,49,43,1,0,95,71,9,0,0
11/11/2015,16,102,7,1,0,1,0,0,0,0
11/11/2016,19,78,8,5,0,2,0,0,0,0
11/11/2017,25,36,47,1,1,94,65,3,0,0
11/12/2015,18,91,5,1,1,1,0,0,0,0
11/12/2016,11,72,7,1,0,2,0,0,0,0
11/12/2017,21,44,43,1,0,71,69,2,0,0
11/13/2015,16,89,2,1,0,0,0,0,0,0
11/13/2016,14,63,6,2,0,1,0,0,0,0
11/13/2017,48,46,33,1,0,115,62,2,0,0
11/14/2015,12,68,6,1,0,0,0,0,0,0
11/14/2016,25,93,8,3,0,2,0,0,0,0
11/14/2017,27,54,33,1,0,79,55,5,0,0
11/15/2015,14,47,4,3,0,2,0,0,0,0
11/15/2016,15,93,9,3,0,4,0,2,0,0
11/15/2017,35,44,36,4,0,80,70,2,1,0
11/16/2015,29,88,10,0,1,1,0,0,0,0
11/16/2016,18,84,3,2,1,1,0,1,0,0
11/16/2017,37,39,32,0,0,100,51,3,2,0
11/17/2015,12,111,2,1,1,0,0,0,0,0
11/17/2016,18,70,6,0,0,0,0,1,0,0
11/17/2017,48,44,40,2,0,126,65,7,1,1
11/18/2015,15,86,5,1,1,0,0,0,0,0
11/18/2016,17,76,4,1,0,3,0,1,0,0
11/18/2017,40,53,41,2,0,90,61,2,0,0
11/19/2015,9,84,6,0,1,1,0,0,0,0
11/19/2016,9,53,8,2,0,0,0,1,0,0
11/19/2017,34,28,38,2,0,88,61,1,3,0
11/2/2015,21,93,5,1,0,0,0,0,0,0
11/2/2016,21,87,6,0,1,5,1,0,0,0
11/2/2017,30,41,30,1,0,99,69,1,2,1
11/20/2015,23,70,6,0,0,0,0,1,0,0
11/20/2016,14,52,9,2,0,4,0,0,0,0
11/20/2017,31,60,38,3,0,97,70,3,0,1
11/21/2015,17,84,5,0,0,0,0,0,0,0
11/21/2016,21,98,6,3,0,3,0,1,0,0
11/21/2017,30,46,46,2,0,83,59,1,0,0
11/22/2015,14,64,3,0,0,0,0,0,0,0
11/22/2016,20,77,4,3,0,1,0,0,0,0
11/22/2017,27,65,14,0,0,85,72,2,0,1
11/23/2015,26,105,2,1,0,0,0,0,0,0
11/23/2016,14,75,9,3,0,2,0,0,0,0
11/23/2017,19,22,35,1,1,82,46,3,1,0
11/24/2015,9,112,4,0,0,0,0,0,0,0
11/24/2016,19,46,4,2,0,4,0,0,0,0
11/24/2017,32,54,38,2,0,72,53,2,1,0
11/25/2015,18,84,8,1,0,0,0,0,0,0
11/25/2016,12,58,3,4,0,1,0,0,0,0
11/25/2017,28,46,43,0,0,69,54,4,0,0
11/26/2015,12,41,6,1,0,0,0,0,0,0
11/26/2016,18,76,6,0,0,3,0,0,0,0
11/26/2017,29,50,44,2,0,76,64,0,0,0
11/27/2015,17,68,7,0,0,0,0,0,0,0
11/27/2016,20,77,7,1,0,2,0,1,0,0
11/27/2017,30,56,37,1,0,97,62,4,0,1
11/28/2015,19,61,6,0,0,0,0,0,0,0
11/28/2016,24,122,5,1,0,0,0,0,0,0
11/28/2017,38,49,37,1,0,68,53,2,0,1
11/29/2015,13,50,9,3,0,0,0,0,0,0
11/29/2016,31,93,8,2,1,4,0,2,0,0
11/29/2017,35,53,40,2,0,89,61,2,2,0
11/3/2015,21,103,5,1,0,0,0,0,0,0
11/3/2016,20,68,2,1,0,1,0,0,0,0
11/3/2017,42,44,43,1,0,111,72,2,3,0
11/30/2015,30,77,3,3,0,0,0,0,0,0
11/30/2016,23,91,2,2,0,1,0,0,0,0
11/30/2017,35,48,43,0,0,91,58,4,0,1
11/4/2015,24,96,8,2,0,0,0,0,0,0
11/4/2016,28,73,2,1,0,1,0,0,0,0
11/4/2017,39,44,49,4,0,89,62,5,1,0
11/5/2015,19,77,3,0,0,0,0,0,0,0
11/5/2016,17,84,7,2,0,1,0,0,0,0
11/5/2017,33,38,49,2,0,84,74,0,0,0
11/6/2015,21,85,7,1,0,0,0,0,0,0
11/6/2016,23,71,7,2,1,1,0,0,0,0
11/6/2017,49,49,35,2,0,98,64,4,0,0
11/7/2015,13,63,2,2,1,1,0,0,0,0
11/7/2016,16,94,3,5,0,5,0,3,0,0
11/7/2017,36,57,35,3,0,73,53,0,2,0
11/8/2015,15,42,5,0,0,0,0,0,0,0
11/8/2016,13,89,6,4,0,4,0,1,0,0
11/8/2017,40,45,33,2,0,69,60,2,0,0
11/9/2015,29,102,4,1,0,0,0,0,0,0
11/9/2016,24,63,4,1,1,1,0,0,0,0
11/9/2017,29,51,34,2,0,83,48,0,0,2
12/1/2015,11,85,4,0,0,2,0,0,0,0
12/1/2016,23,81,8,8,0,29,0,2,0,0
12/1/2017,44,65,28,2,0,141,55,8,2,1
12/10/2015,19,108,4,1,0,0,0,0,0,0
12/10/2016,15,76,2,4,1,1,0,1,0,0
12/10/2017,38,43,43,1,0,98,55,3,3,0
12/11/2015,17,106,5,1,1,1,0,0,0,0
12/11/2016,10,53,3,0,0,4,0,0,0,0
12/11/2017,36,57,33,0,0,92,56,4,3,0
12/12/2015,19,78,12,1,1,0,0,0,0,0
12/12/2016,27,99,4,3,1,8,0,0,0,0
12/12/2017,46,54,34,0,0,87,52,1,0,1
12/13/2015,19,87,5,1,0,0,0,0,0,0
12/13/2016,19,94,8,2,0,3,0,0,0,0
12/13/2017,56,49,26,1,0,68,52,2,0,0
12/14/2015,15,111,7,5,0,0,0,0,0,0
12/14/2016,29,110,5,2,0,6,0,0,0,0
12/14/2017,50,73,31,1,0,78,46,3,0,0
12/15/2015,25,83,5,0,0,0,0,0,0,0
12/15/2016,25,85,6,1,0,8,0,2,0,0
12/15/2017,48,43,35,0,1,107,48,1,2,0
12/16/2015,29,92,7,1,0,0,0,0,0,0
12/16/2016,21,96,8,2,0,7,0,1,0,0
12/16/2017,31,45,43,0,0,81,41,3,0,0
12/17/2015,23,83,9,1,0,1,0,0,0,0
12/17/2016,25,56,8,3,0,3,0,1,0,0
12/17/2017,44,48,32,1,0,79,51,0,0,0
12/18/2015,26,67,4,0,0,0,0,0,0,0
12/18/2016,17,64,7,1,1,4,0,0,0,0
12/18/2017,52,59,33,2,0,85,38,4,0,0
12/19/2015,13,70,5,0,0,0,0,0,0,0
12/19/2016,20,84,5,3,1,9,0,1,0,0
12/19/2017,48,67,34,0,0,82,56,3,1,0
12/2/2015,21,85,5,0,0,1,0,0,0,0
12/2/2016,17,81,5,2,0,2,0,1,0,0
12/2/2017,30,46,48,1,0,101,67,1,1,0
12/20/2015,14,70,7,1,0,0,0,0,0,0
12/20/2016,18,79,8,1,0,12,0,0,0,0
12/20/2017,48,50,39,0,0,93,53,0,0,0
12/21/2015,23,122,8,0,0,0,0,0,0,0
12/21/2016,20,73,4,4,0,7,0,2,0,0
12/21/2017,36,57,32,0,0,88,45,4,0,0
12/22/2015,15,100,5,2,0,0,0,0,0,0
12/22/2016,18,98,5,2,0,9,0,0,0,0
12/22/2017,45,56,34,0,0,74,46,1,1,0
12/23/2015,14,94,3,1,0,0,0,0,0,0
12/23/2016,22,86,7,1,0,1,1,2,0,0
12/23/2017,33,56,33,0,0,70,48,1,0,1
12/24/2015,13,80,4,2,0,0,0,0,0,0
12/24/2016,18,56,7,0,0,8,1,0,0,0
12/24/2017,31,42,41,1,0,53,58,0,0,0
12/25/2015,13,36,5,1,0,0,0,0,0,0
12/25/2016,18,64,6,2,0,8,0,1,0,0
12/25/2017,23,19,43,3,0,47,44,2,0,0
12/26/2015,24,40,5,1,0,0,0,0,0,0
12/26/2016,25,67,7,3,0,4,1,1,0,0
12/26/2017,41,47,25,1,1,70,50,3,0,0
12/27/2015,18,50,6,0,0,0,0,0,0,0
12/27/2016,29,89,6,1,0,10,0,1,0,0
12/27/2017,30,40,25,1,0,59,44,1,1,1
12/28/2015,24,84,6,0,0,0,0,0,0,0
12/28/2016,34,99,7,1,0,9,0,2,0,0
12/28/2017,36,42,36,0,0,107,41,1,1,0
12/29/2015,27,96,8,0,0,0,0,0,0,0
12/29/2016,27,102,5,3,1,4,0,1,0,0
12/29/2017,38,41,42,0,0,88,51,6,1,0
12/3/2015,16,72,5,1,0,0,0,0,0,0
12/3/2016,18,65,7,0,0,0,0,0,0,0
12/3/2017,34,36,32,0,0,83,67,1,0,0
12/30/2015,18,79,3,1,0,0,0,0,0,0
12/30/2016,26,100,9,0,0,23,1,1,0,0
12/30/2017,44,49,39,0,0,79,58,0,0,0
12/31/2015,11,83,5,0,0,0,0,0,0,0
12/31/2016,26,73,11,6,0,21,3,0,0,0
12/31/2017,36,41,33,2,0,73,58,0,0,1
12/4/2015,13,71,3,0,0,0,0,0,0,0
12/4/2016,22,58,5,1,0,2,0,2,0,0
12/4/2017,41,58,43,1,0,95,54,9,0,0
12/5/2015,12,55,7,1,0,1,0,0,0,0
12/5/2016,21,93,4,2,0,4,0,1,0,0
12/5/2017,43,56,42,0,0,63,55,2,0,0
12/6/2015,11,62,7,0,1,0,0,0,0,0
12/6/2016,25,78,4,2,0,1,0,2,0,0
12/6/2017,41,35,26,0,0,80,36,1,0,0
12/7/2015,30,102,6,2,0,0,0,0,0,0
12/7/2016,16,77,3,2,0,7,0,1,0,0
12/7/2017,38,49,24,1,0,78,46,4,1,0
12/8/2015,17,112,3,0,0,0,0,0,0,0
12/8/2016,17,86,3,0,0,6,0,0,0,0
12/8/2017,35,56,28,1,0,92,54,2,0,0
12/9/2015,15,93,5,5,1,0,0,1,0,0
12/9/2016,16,76,1,2,0,3,0,0,0,0
12/9/2017,40,53,40,4,0,77,48,1,1,0
2/1/2015,25,64,10,1,0,3,0,2,0,0
2/1/2016,19,97,11,2,0,2,0,1,0,0
2/1/2017,55,71,45,3,0,160,56,5,0,0
2/1/2018,37,62,39,1,0,105,57,5,4,1
2/10/2015,15,80,1,2,0,0,0,0,0,0
2/10/2016,24,80,5,1,0,0,0,0,0,0
2/10/2017,50,67,48,1,0,130,59,2,3,1
2/10/2018,26,42,41,1,0,67,63,5,1,0
2/11/2015,16,75,4,0,0,0,0,0,0,0
2/11/2016,17,79,5,2,0,1,0,0,0,0
2/11/2017,43,42,49,0,0,105,65,3,1,1
2/11/2018,24,37,30,1,0,78,48,0,0,0
2/12/2015,25,90,5,0,1,0,0,0,0,0
2/12/2016,9,80,13,2,0,0,0,0,0,0
2/12/2017,55,46,37,0,0,82,60,3,1,2
2/12/2018,42,53,29,1,0,89,62,2,0,0
2/13/2015,17,77,7,0,0,0,0,0,0,0
2/13/2016,12,47,7,1,0,0,0,0,0,0
2/13/2017,45,48,47,1,0,97,59,2,2,1
2/13/2018,36,46,33,0,0,69,37,3,4,1
2/14/2015,17,71,5,2,0,0,0,0,0,0
2/14/2016,18,65,5,1,0,0,0,0,0,0
2/14/2017,34,42,29,2,0,108,67,6,1,0
2/14/2018,25,60,43,0,0,85,50,4,0,0
2/15/2015,14,52,12,4,0,0,0,0,0,0
2/15/2016,25,93,4,0,0,0,0,0,0,0
2/15/2017,37,43,31,2,0,77,50,8,1,0
2/15/2018,28,49,46,0,0,92,54,2,1,0
2/16/2015,14,100,2,1,0,1,0,0,0,0
2/16/2016,22,90,5,4,0,0,0,0,0,0
2/16/2017,20,50,38,3,0,125,51,11,1,0
2/16/2018,36,44,43,0,0,100,62,3,1,0
2/17/2015,21,98,8,2,0,0,0,0,0,0
2/17/2016,17,68,7,2,0,1,0,0,0,0
2/17/2017,50,48,42,1,0,122,54,4,0,0
2/17/2018,30,55,40,1,0,94,77,3,1,0
2/18/2015,20,88,5,1,0,0,0,0,0,0
