date,Count,AGGRIVATED ASSAULT,BURGLARY,RAPE,THEFT,FRAUD,MISC,MOTOR VEHICLE THEFT,MURDER AND NON-NEGLIGENT MANSLAUGHTER,ATTEMPT,ARSON,DRUG OFFENSE,OBSCENITY,CONCEALED CARRY LICENSE VIOLATION
4/24/2017,735,164,55,10,95,31,156,22,3,5,1,21,0,1
4/24/2018,711,150,48,6,116,29,155,22,4,4,0,26,0,0
4/25/2016,757,177,54,10,85,24,141,19,2,2,1,41,0,0
4/25/2017,756,161,54,6,99,34,163,28,1,4,2,31,1,0
4/25/2018,749,161,55,6,120,35,154,25,3,8,0,38,0,0
4/26/2016,691,140,60,5,86,30,143,22,2,5,2,48,0,0
4/26/2017,758,181,58,5,92,26,150,17,0,5,1,43,1,0
4/26/2018,726,146,42,5,117,51,150,13,2,6,0,29,0,0
4/27/2016,658,150,67,5,83,25,133,19,0,4,0,43,1,0
4/27/2017,715,150,43,4,97,31,148,23,1,4,1,37,1,0
4/27/2018,763,163,49,10,113,34,154,21,2,7,1,47,1,0
4/28/2016,731,148,59,8,93,33,147,18,0,5,2,45,0,0
4/28/2017,832,177,63,7,96,41,177,30,4,12,0,47,1,0
4/28/2018,676,151,49,5,112,33,125,20,0,5,1,36,0,0
4/29/2016,715,161,54,7,86,28,126,19,0,4,1,54,0,0
4/29/2017,614,119,47,5,80,32,123,29,1,2,0,27,0,0
4/29/2018,723,178,51,11,90,25,154,19,1,5,1,41,0,1
4/30/2016,603,139,45,5,88,29,109,17,2,2,1,34,0,1
4/30/2017,656,149,51,7,73,26,148,27,0,1,2,32,0,0
4/30/2018,781,169,49,12,107,37,175,23,1,3,2,27,0,0
5/1/2016,802,158,59,13,80,37,131,28,0,4,1,26,0,0
5/1/2017,834,158,61,16,92,41,134,19,1,2,1,28,1,1
5/1/2018,953,209,52,13,112,46,176,22,1,6,0,29,1,0
5/2/2016,755,149,59,4,90,33,132,23,5,6,1,44,1,0
5/2/2017,689,152,45,6,93,43,148,24,0,3,1,33,0,0
5/2/2018,780,175,46,10,105,41,143,18,3,6,1,37,0,0
5/3/2016,734,151,62,9,72,32,155,21,2,4,0,45,0,0
5/3/2017,739,154,66,10,90,27,148,19,0,3,0,37,1,0
5/3/2018,738,177,40,8,105,40,147,21,2,2,1,33,0,0
5/4/2016,678,146,54,7,75,27,158,18,3,3,1,49,0,0
5/4/2017,741,150,61,5,99,37,140,14,0,2,2,45,0,0
5/4/2018,808,204,44,13,95,37,152,21,1,9,1,48,0,0
5/5/2016,696,142,53,6,98,29,137,21,0,3,0,50,0,0
5/5/2017,794,170,55,13,97,40,169,22,1,5,1,44,1,0
5/5/2018,845,214,50,7,116,31,150,20,0,4,1,35,0,0
5/6/2016,794,169,57,8,95,37,147,26,2,0,1,40,0,0
5/6/2017,709,161,48,4,103,31,139,26,0,0,1,31,0,0
5/6/2018,707,185,38,11,84,21,147,23,4,3,0,22,0,0
5/7/2016,740,176,57,10,87,44,133,22,4,1,2,14,0,0
5/7/2017,630,166,48,10,81,21,128,20,5,4,1,13,0,0
5/7/2018,801,175,52,5,111,35,159,23,2,3,0,43,1,2
5/8/2016,726,189,49,6,78,28,157,21,4,10,0,32,0,0
5/8/2017,704,134,57,7,92,39,149,19,1,8,2,40,1,0
5/8/2018,800,183,56,13,103,37,176,20,4,3,1,33,0,0
5/9/2016,729,166,60,5,84,35,146,20,3,5,1,42,1,0
5/9/2017,706,155,62,5,99,40,145,19,2,2,0,33,0,0
5/9/2018,784,174,60,11,110,33,166,20,0,2,2,23,0,0
5/10/2016,711,154,57,3,85,35,144,19,2,2,2,40,0,0
5/10/2017,663,140,50,6,88,31,137,22,3,5,1,24,0,0
5/10/2018,772,167,51,6,115,43,138,20,0,7,1,35,1,1
5/11/2016,757,167,59,6,97,39,143,21,3,2,1,40,0,0
5/11/2017,731,173,59,4,101,24,151,27,1,2,0,34,0,0
5/11/2018,720,155,51,5,95,37,152,23,3,5,0,35,0,0
5/12/2016,688,150,55,2,87,32,132,19,2,3,1,49,0,0
5/12/2017,847,173,50,8,115,37,168,24,3,3,2,46,0,2
5/12/2018,688,155,43,5,102,36,148,16,2,5,1,29,0,3
5/13/2016,808,160,57,6,99,39,174,23,1,2,0,46,0,0
5/13/2017,724,161,44,4,102,28,167,24,1,10,1,36,0,0
5/13/2018,686,167,48,4,87,16,155,26,2,5,3,27,0,1
5/14/2016,720,157,53,5,93,24,147,19,4,1,6,45,0,0
5/14/2017,712,176,44,6,87,26,165,25,5,3,1,24,0,0
5/14/2018,779,164,48,7,111,40,170,23,3,4,0,27,0,0
5/15/2016,738,173,55,6,88,22,157,20,4,3,1,37,0,0
5/15/2017,868,183,64,3,105,44,160,25,1,5,0,41,0,1
5/15/2018,736,163,49,7,104,35,147,27,1,0,0,23,0,0
5/16/2016,782,163,65,9,100,34,159,13,4,0,5,51,0,0
5/16/2017,746,183,57,10,106,33,143,31,1,2,0,36,0,0
5/16/2018,750,186,46,5,107,32,147,20,1,6,1,33,0,0
5/17/2016,688,143,59,7,93,26,160,20,1,0,3,44,0,0
5/17/2017,832,208,52,6,111,31,162,27,5,3,1,34,2,0
5/17/2018,788,183,59,16,114,38,152,18,3,4,1,28,0,0
5/18/2016,799,164,70,3,98,28,162,20,2,4,2,44,0,0
5/18/2017,775,177,53,7,101,37,156,19,2,1,2,29,0,0
5/18/2018,784,164,53,11,114,41,165,25,3,1,1,37,0,0
5/19/2016,763,146,59,5,103,22,153,23,1,3,1,79,0,0
5/19/2017,776,162,62,6,108,33,136,33,0,3,1,45,0,1
5/19/2018,745,177,51,8,107,30,130,24,1,5,0,41,0,0
5/20/2016,803,163,59,6,89,30,151,23,3,4,3,52,0,0
5/20/2017,664,144,46,4,100,31,142,26,2,2,1,36,1,0
5/20/2018,756,186,51,7,96,33,155,34,1,1,1,31,1,1
5/21/2016,791,163,62,7,99,35,164,15,3,5,3,36,0,0
5/21/2017,790,222,48,2,95,23,158,22,2,4,0,33,0,0
5/21/2018,697,150,54,3,106,31,141,22,0,2,0,38,1,1
5/22/2016,750,185,55,7,98,18,137,20,1,6,2,48,0,0
5/22/2017,794,169,63,8,116,35,165,19,3,5,4,29,0,0
5/22/2018,790,175,55,8,109,43,152,14,1,4,2,36,1,0
5/23/2016,781,176,63,8,88,31,156,20,0,6,1,42,0,0
5/23/2017,736,160,58,7,92,34,164,21,2,3,0,36,0,0
5/23/2018,775,172,43,6,109,39,167,29,1,4,0,33,0,2
5/24/2016,803,173,58,3,104,33,160,22,1,4,2,43,1,0
5/24/2017,760,150,56,11,117,32,151,19,1,5,3,32,0,0
5/24/2018,810,189,62,13,113,35,180,17,0,3,1,43,0,0
5/25/2016,718,172,51,14,87,30,132,23,0,3,1,34,0,0
5/25/2017,762,169,55,4,101,37,157,21,3,5,2,29,0,0
5/25/2018,798,190,39,8,101,41,167,20,3,5,0,25,0,0
5/26/2016,765,173,50,8,94,26,139,29,2,1,2,41,0,0
5/26/2017,766,152,68,8,101,30,155,27,0,4,1,43,0,1
5/26/2018,852,218,47,6,112,40,160,13,3,6,2,42,0,0
5/27/2016,798,160,58,13,99,27,165,27,4,2,1,48,0,0
5/27/2017,802,173,52,6,96,31,178,13,2,5,1,50,0,0
5/27/2018,878,227,46,10,106,31,173,20,1,6,0,44,0,2
5/28/2016,791,177,49,10,101,25,152,26,3,3,3,48,0,0
5/28/2017,703,183,54,8,80,24,159,16,1,3,1,26,1,0
5/28/2018,877,207,58,8,104,36,189,20,2,10,3,42,0,0
5/29/2016,798,207,60,6,80,20,164,21,0,8,3,45,0,1
5/29/2017,767,188,54,7,97,22,173,20,4,5,0,32,0,0
5/29/2018,874,218,61,8,106,39,163,24,0,6,2,33,0,0
5/30/2016,819,203,60,6,105,24,154,25,2,2,1,42,0,0
5/30/2017,813,175,51,5,113,32,172,25,4,4,5,20,0,0
5/30/2018,841,171,54,7,115,46,159,26,2,6,4,33,0,1
5/31/2016,754,168,65,6,92,38,152,23,1,1,4,48,1,0
5/31/2017,737,165,55,7,100,31,160,14,1,2,2,38,0,0
5/31/2018,839,182,58,9,111,41,166,24,3,4,3,32,2,1
6/1/2016,905,172,54,19,98,41,168,26,4,7,1,45,0,0
6/1/2017,842,158,56,10,103,46,156,14,3,7,2,37,1,0
6/1/2018,916,191,66,8,115,38,179,19,1,6,2,35,1,0
6/2/2016,797,178,50,9,104,35,164,21,1,4,2,41,0,1
6/2/2017,840,189,58,6,96,39,139,31,2,1,4,44,0,0
6/2/2018,809,189,55,7,118,46,157,22,0,0,1,43,0,1
6/3/2016,819,181,54,9,84,36,158,24,2,4,0,56,1,0
6/3/2017,822,201,61,4,99,32,179,26,3,0,0,26,0,0
6/3/2018,828,207,60,9,97,28,165,23,2,4,2,32,0,1
6/4/2016,827,194,46,8,95,65,151,18,5,3,1,40,0,1
6/4/2017,818,208,68,8,89,25,154,30,3,6,2,34,0,0
6/4/2018,779,178,53,8,96,39,148,27,1,2,1,23,0,0
6/5/2016,778,183,54,6,90,44,124,26,3,2,1,41,0,0
6/5/2017,733,173,54,8,90,29,130,28,3,3,1,23,0,0
6/5/2018,750,162,60,8,118,36,130,15,2,3,1,35,0,0
6/6/2016,791,167,52,7,96,37,144,23,2,2,1,42,0,0
6/6/2017,820,175,55,3,110,43,148,24,2,4,3,31,0,0
6/6/2018,803,183,47,3,107,35,156,28,1,5,1,32,1,0
6/7/2016,754,174,61,3,87,48,144,22,0,1,1,47,0,0
6/7/2017,784,176,55,9,105,40,154,26,3,5,1,20,0,0
6/7/2018,761,172,48,7,116,37,153,17,1,5,2,34,0,1
6/8/2016,743,154,64,3,91,33,150,24,2,5,1,49,0,0
6/8/2017,768,167,60,6,103,32,161,27,3,7,0,17,0,0
6/8/2018,756,155,50,9,97,29,171,24,5,4,1,36,0,0
6/9/2016,724,149,42,11,86,45,142,28,1,5,0,37,0,0
6/9/2017,814,176,72,13,104,33,169,27,2,3,0,30,1,0
6/9/2018,806,167,52,6,114,29,170,26,4,7,0,31,0,1
6/10/2016,763,157,52,5,100,36,145,25,2,3,1,40,0,0
6/10/2017,782,170,51,7,101,28,135,22,0,3,1,27,0,1
6/10/2018,726,162,47,6,104,25,141,24,4,4,1,34,0,0
6/11/2016,814,187,40,5,108,41,159,18,4,3,0,37,0,0
6/11/2017,812,202,45,3,95,31,164,21,6,4,0,26,0,0
6/11/2018,739,149,49,7,108,37,155,21,0,3,3,32,0,1
6/12/2016,849,190,52,11,100,23,161,25,3,5,2,51,0,0
6/12/2017,741,170,49,4,96,28,141,33,6,1,4,38,0,0
6/12/2018,786,178,51,5,113,36,161,19,2,10,1,29,0,1
6/13/2016,793,176,51,7,100,41,150,28,1,4,0,33,0,1
6/13/2017,808,163,56,6,121,45,152,24,4,3,1,30,0,0
6/13/2018,741,178,43,6,104,31,148,16,0,5,0,27,0,1
6/14/2016,835,175,60,2,101,40,169,27,4,2,1,47,0,0
6/14/2017,765,158,54,3,106,30,132,29,1,5,3,22,0,0
6/14/2018,752,143,51,5,112,33,176,23,2,3,0,36,0,0
6/15/2016,786,165,68,5,94,39,164,16,1,2,1,47,0,0
6/15/2017,818,176,70,5,99,34,165,20,2,5,1,25,0,0
6/15/2018,819,171,61,11,95,43,165,18,4,4,0,35,0,1
6/16/2016,819,163,61,8,102,27,165,26,7,4,4,36,1,0
6/16/2017,833,182,58,5,108,40,160,30,3,4,0,27,0,2
6/16/2018,815,205,51,12,117,36,164,21,3,6,1,28,0,2
6/17/2016,827,178,56,12,108,40,168,23,2,3,1,38,0,0
6/17/2017,826,184,52,10,104,39,151,31,1,5,3,23,0,0
6/17/2018,824,243,51,8,101,32,130,25,5,8,2,19,0,0
6/18/2016,761,163,54,13,99,20,138,19,7,5,0,34,0,0
6/18/2017,783,202,59,9,97,24,151,24,7,4,0,14,0,0
6/18/2018,831,194,53,4,107,29,183,19,3,4,0,23,1,0
6/19/2016,811,205,63,7,100,22,135,23,3,9,3,22,0,0
6/19/2017,745,161,48,8,107,23,160,30,2,3,3,29,0,0
6/19/2018,784,181,55,5,120,32,164,19,3,3,3,32,0,0
6/20/2016,854,203,63,11,93,29,155,25,2,5,1,36,0,0
6/20/2017,802,172,70,5,104,35,147,24,2,3,2,32,1,0
6/20/2018,873,183,61,6,123,28,195,19,0,3,2,39,0,0
6/21/2016,822,173,51,9,105,35,154,26,1,2,2,33,0,0
6/21/2017,783,141,72,7,106,31,169,35,4,3,3,32,0,0
6/21/2018,653,136,45,2,105,45,118,21,1,4,0,27,0,0
6/22/2016,749,176,63,6,101,37,151,18,1,6,2,37,1,0
6/22/2017,817,151,65,9,108,41,154,22,2,3,4,22,1,0
6/22/2018,716,143,59,6,108,35,135,23,0,5,2,39,0,1
6/23/2016,800,171,69,11,108,35,140,23,2,10,3,44,0,0
6/23/2017,777,146,51,6,88,38,156,29,1,4,1,29,0,0
6/23/2018,834,181,54,8,115,34,176,22,1,3,1,35,0,0
6/24/2016,807,161,64,6,117,31,146,24,4,7,2,48,0,0
6/24/2017,818,185,62,11,106,35,156,28,2,1,0,39,0,0
6/24/2018,869,217,59,9,122,30,167,29,2,1,5,19,0,0
6/25/2016,811,187,59,5,101,27,157,32,1,3,3,30,0,0
6/25/2017,797,208,55,10,93,27,152,26,1,1,3,18,0,0
6/25/2018,847,176,67,7,117,38,151,27,2,5,0,28,0,1
6/26/2016,773,189,58,14,87,19,155,23,4,3,3,24,0,0
6/26/2017,787,167,64,8,98,35,141,29,4,5,0,31,1,0
6/26/2018,788,147,61,8,114,37,162,22,3,2,1,24,0,0
6/27/2016,768,172,61,9,92,31,129,36,2,3,1,41,0,1
6/27/2017,771,167,59,4,104,34,153,24,5,5,1,33,0,0
6/27/2018,812,170,69,8,111,45,168,21,1,2,1,30,0,1
6/28/2016,767,148,55,7,98,33,158,23,2,2,1,45,0,0
6/28/2017,703,144,80,5,93,30,130,33,3,3,0,25,1,0
6/28/2018,812,185,65,7,126,44,157,25,1,4,0,30,0,0
6/29/2016,803,170,61,4,96,39,160,17,3,6,1,42,0,0
6/29/2017,775,172,40,4,110,32,166,28,1,6,2,24,0,0
6/29/2018,774,164,61,8,109,41,149,21,0,6,1,28,0,0
6/30/2016,848,162,56,6,99,28,158,31,2,2,1,73,0,0
6/30/2017,775,173,62,6,102,28,151,23,4,5,0,28,0,0
6/30/2018,852,200,60,6,120,38,167,24,2,8,1,39,0,1
7/1/2016,948,155,69,12,95,46,177,33,2,3,1,60,0,1
7/1/2017,906,198,55,13,93,47,178,19,1,4,1,33,1,0
7/1/2018,894,209,57,9,113,32,175,25,1,2,2,47,1,2
7/2/2016,756,175,69,7,89,25,148,27,2,4,2,51,0,0
7/2/2017,779,173,62,7,86,20,180,23,3,4,2,27,1,0
7/2/2018,850,192,50,6,127,36,162,22,0,6,0,35,0,0
7/3/2016,780,177,57,7,88,22,160,21,1,4,3,51,0,0
7/3/2017,863,166,66,8,104,43,157,29,0,2,1,59,0,0
7/3/2018,807,155,62,2,120,37,176,26,1,6,0,42,1,0
7/4/2016,846,203,67,9,83,15,179,22,1,4,2,37,0,0
7/4/2017,795,191,43,7,95,22,176,29,1,10,0,22,0,1
7/4/2018,816,225,53,8,82,22,168,21,0,8,0,27,1,1
7/5/2016,894,217,65,9,86,34,157,33,5,0,3,48,0,0
7/5/2017,855,183,66,10,92,36,169,31,8,3,2,30,0,0
7/5/2018,821,181,57,6,114,35,171,18,1,5,1,46,0,1
7/6/2016,741,160,60,6,92,32,157,22,2,2,0,31,0,0
7/6/2017,776,165,72,8,100,33,157,24,3,3,2,23,0,0
7/6/2018,873,159,73,10,111,48,173,23,2,4,2,52,0,2
7/7/2016,788,146,60,7,113,35,148,21,0,3,1,44,0,0
7/7/2017,757,168,54,4,100,43,138,27,0,4,0,28,1,0
7/7/2018,818,188,60,5,105,35,162,23,1,6,3,32,0,0
7/8/2016,789,158,68,9,114,30,150,19,1,1,1,33,0,0
7/8/2017,759,178,57,12,89,32,145,27,1,2,2,26,0,0
7/8/2018,812,220,68,11,82,21,154,26,4,9,1,32,0,0
7/9/2016,727,175,59,3,99,28,132,12,1,2,5,28,0,0
7/9/2017,823,200,71,4,99,26,151,24,2,5,2,32,0,0
7/9/2018,789,160,68,6,108,38,155,17,1,5,1,33,0,0
7/10/2016,760,170,68,9,89,33,146,26,2,5,2,21,0,0
7/10/2017,779,142,56,11,111,35,157,25,2,5,0,38,0,0
7/10/2018,802,157,59,7,120,45,143,20,2,10,1,31,0,0
7/11/2016,699,156,62,6,88,29,147,27,2,1,2,30,0,0
7/11/2017,767,156,59,12,108,34,149,23,2,3,0,29,0,0
7/11/2018,732,161,54,8,113,46,143,20,4,6,3,21,0,0
7/12/2016,779,153,55,8,94,43,154,21,2,2,3,36,0,0
7/12/2017,688,133,54,4,113,33,155,23,2,1,0,22,0,0
7/12/2018,790,172,60,6,117,37,138,23,4,2,4,40,0,1
7/13/2016,726,136,70,11,84,38,128,18,2,3,1,43,0,0
7/13/2017,813,157,60,10,105,31,152,19,3,6,1,41,0,1
7/13/2018,812,178,54,5,123,41,148,28,1,2,0,28,0,0
7/14/2016,768,127,59,10,101,32,155,32,3,4,0,45,0,0
7/14/2017,796,171,57,4,115,35,146,21,8,6,2,38,0,0
7/14/2018,781,211,50,7,105,36,162,15,2,2,1,30,0,1
7/15/2016,843,157,66,7,112,35,148,25,1,3,0,44,0,0
7/15/2017,884,177,64,8,112,33,173,23,4,3,2,36,0,0
7/15/2018,799,207,46,7,104,32,159,23,3,4,1,29,0,0
7/16/2016,780,167,57,5,86,26,148,32,1,2,2,27,0,0
7/16/2017,813,190,65,11,98,29,166,33,3,3,0,35,0,0
7/16/2018,764,172,51,11,120,33,150,19,0,3,0,30,0,0
7/17/2016,787,180,75,10,66,26,186,34,4,2,0,30,0,0
7/17/2017,838,149,64,3,115,37,151,29,2,3,3,31,0,1
7/17/2018,725,171,45,6,101,34,144,19,2,2,2,33,0,0
7/18/2016,799,148,70,7,96,33,157,28,2,5,3,37,0,0
7/18/2017,790,162,50,8,107,44,165,25,3,6,1,20,1,1
7/18/2018,822,202,57,9,115,54,145,23,2,7,0,25,0,1
7/19/2016,792,142,76,5,101,34,155,26,2,2,3,42,0,0
7/19/2017,767,164,56,4,105,38,144,28,0,8,3,33,1,1
7/19/2018,772,178,53,9,119,39,142,24,2,5,1,25,0,0
7/20/2016,821,180,75,9,97,41,128,25,1,4,1,38,0,0
7/20/2017,758,147,81,12,101,30,143,14,2,2,1,30,0,0
7/20/2018,811,169,59,7,120,39,150,22,2,3,1,34,0,1
7/21/2016,784,157,78,3,106,42,128,23,4,4,1,39,0,0
7/21/2017,758,145,63,5,120,33,140,24,1,3,1,37,1,0
7/21/2018,791,197,54,6,108,33,146,22,4,6,1,31,0,0
7/22/2016,790,163,60,6,92,35,146,26,2,3,2,47,0,0
7/22/2017,752,176,59,5,101,27,144,29,2,1,1,30,0,0
7/22/2018,789,196,72,8,100,30,142,20,3,3,3,41,0,0
7/23/2016,813,180,78,11,101,32,131,30,2,3,1,30,0,0
7/23/2017,843,203,64,10,102,26,164,24,4,5,1,27,0,0
7/23/2018,836,184,54,6,122,38,173,19,2,6,0,31,0,0
7/24/2016,790,185,64,11,89,21,142,21,4,2,0,34,0,0
7/24/2017,780,159,73,6,89,42,163,19,3,1,3,26,0,0
7/24/2018,786,175,47,4,130,45,146,28,0,3,1,28,1,0
7/25/2016,826,169,64,8,107,29,147,27,2,4,3,42,0,2
7/25/2017,846,148,63,9,111,38,177,26,2,3,0,30,0,0
7/25/2018,790,173,44,6,118,38,161,22,2,8,0,37,1,0
7/26/2016,876,174,62,8,119,45,155,35,1,0,1,43,0,0
7/26/2017,750,157,59,5,100,35,157,25,1,7,0,32,0,0
7/26/2018,789,151,60,7,109,37,167,18,2,4,1,30,2,1
7/27/2016,795,147,66,10,109,34,139,25,2,2,3,38,0,0
7/27/2017,790,161,73,7,117,34,143,19,4,5,1,29,0,0
7/27/2018,790,153,55,3,109,45,178,22,3,9,0,37,2,0
7/28/2016,774,154,68,13,87,45,138,32,4,1,0,46,0,0
7/28/2017,851,150,61,8,122,44,154,28,5,3,0,29,0,0
7/28/2018,809,174,47,13,116,45,159,25,3,9,3,29,0,1
7/29/2016,801,146,75,9,100,37,149,22,5,1,1,36,1,0
7/29/2017,798,183,52,12,97,33,163,21,0,1,0,28,0,1
7/29/2018,768,198,56,8,108,31,139,26,3,3,4,27,1,0
7/30/2016,926,188,78,8,109,32,152,22,3,4,0,34,1,0
7/30/2017,818,203,56,9,86,30,162,31,1,2,0,32,0,0
7/30/2018,774,150,64,5,108,39,161,24,1,4,0,20,1,0
7/31/2016,813,172,60,9,113,28,140,20,3,2,0,21,0,0
7/31/2017,788,154,63,11,106,36,158,23,2,6,2,27,0,0
7/31/2018,815,186,48,6,120,47,157,23,2,3,1,30,1,1
8/1/2016,859,158,56,11,103,43,141,28,1,4,3,30,0,3
8/1/2017,928,157,73,9,117,43,159,28,1,0,2,32,0,0
8/1/2018,858,177,64,11,118,45,160,15,1,3,0,29,1,0
8/2/2016,791,178,69,4,108,37,141,24,4,4,1,25,0,0
8/2/2017,773,155,47,8,104,33,176,24,0,5,0,30,0,0
8/2/2018,839,167,65,8,123,40,158,31,0,3,2,22,0,0
8/3/2016,771,140,78,5,81,32,153,25,3,1,0,36,0,0
8/3/2017,846,170,59,5,114,34,161,19,1,5,2,32,0,0
8/3/2018,879,168,54,8,127,53,150,21,2,7,1,33,0,1
8/4/2016,790,167,64,5,94,33,152,32,1,3,0,32,0,0
8/4/2017,923,149,63,4,126,49,161,24,0,0,0,35,1,0
8/4/2018,894,209,64,16,111,32,155,26,3,5,1,32,1,1
8/5/2016,860,164,76,7,94,41,156,31,1,6,1,32,0,0
8/5/2017,926,167,63,8,136,42,175,24,2,1,0,22,0,0
8/5/2018,853,226,47,10,116,35,171,19,8,2,3,18,0,0
8/6/2016,826,206,54,8,105,29,155,27,3,0,0,23,0,0
8/6/2017,865,211,66,6,111,24,149,21,3,4,4,34,0,0
8/6/2018,796,155,61,10,113,40,145,26,3,7,3,34,0,0
8/7/2016,838,187,65,9,89,32,152,25,3,5,4,38,0,0
8/7/2017,773,148,71,9,94,30,149,22,1,4,2,35,0,2
8/7/2018,767,147,48,10,122,41,150,27,2,5,0,30,0,1
8/8/2016,802,146,80,6,106,34,131,30,8,0,2,28,1,1
8/8/2017,764,151,62,10,107,30,159,22,1,1,0,38,0,1
8/8/2018,772,158,53,4,137,32,162,22,4,6,3,32,0,0
8/9/2016,722,157,60,7,97,36,153,20,5,2,1,30,0,0
8/9/2017,770,163,50,10,109,40,145,23,3,5,0,26,0,0
8/9/2018,755,166,55,10,117,33,135,21,3,5,1,28,0,0
8/10/2016,721,155,54,6,86,38,137,15,3,5,1,26,0,1
8/10/2017,789,163,56,6,106,36,164,24,2,4,2,28,0,0
8/10/2018,838,165,65,9,124,41,155,21,2,8,0,34,0,2
8/11/2016,850,171,59,4,96,37,188,30,3,2,2,33,0,0
8/11/2017,766,147,53,11,106,28,158,22,0,4,2,31,0,0
8/11/2018,841,201,72,10,102,32,164,29,0,2,2,27,0,2
8/12/2016,743,127,71,5,100,27,137,24,1,4,1,34,0,0
8/12/2017,812,171,59,12,104,36,153,26,2,5,0,27,0,1
8/12/2018,823,206,55,7,105,29,172,26,0,4,2,32,0,0
8/13/2016,825,168,63,8,104,36,173,26,3,4,0,18,1,0
8/13/2017,730,176,56,8,92,27,151,18,6,3,2,15,0,0
8/13/2018,810,178,55,4,122,44,157,22,1,1,2,30,0,0
8/14/2016,842,193,77,10,97,27,151,28,6,2,4,24,0,0
8/14/2017,810,167,55,5,112,29,144,25,4,6,2,29,0,0
8/14/2018,822,177,55,9,129,41,142,29,1,2,2,47,0,0
8/15/2016,842,165,71,2,109,45,165,18,2,4,2,26,0,0
8/15/2017,793,147,65,15,125,36,147,35,2,3,0,17,0,0
8/15/2018,777,149,51,10,122,36,154,23,1,5,2,37,1,0
